,id,tweet,label
107,1508035322965159937,"We can really see that the team is serious on expanding all over the world. They are leveraging the blockchain in order to reach their goals. I know that this is a big project.

@Tyvcoin_Project #tyvcoin #tyvcoinpro #TYV #tothemoon #crypto #aladdincenter #bountycampaign",
108,1508035307488358401,"@Degenomics2000 @crypto 🔥🔥🔥BABY RIPPLE🔥🔥🔥

💥5% XRP REWARDS!!!!💥

🚀🚀NEXT MOONING TOKEN HAS LAUNCHED🚀🚀

🔒 LP LOCKED FOR 10 YEARS
👀 Audit &amp; KYC DONE!
🏢 Huge marketing with big crypto influencers 
✅ CG &amp; CMC LISTED!
🚀 COINBASE LISTED!

🌐Telegram:",
109,1508035281743540225,"@EnZenex 
I like the team‘s approach to implementing their plans.  cause an experienced team of professionals is constantly working on the development of the project.  
  #zenex #ZNX #Zillion #Crypto #bitexpro #zenexcoin #bounty",
110,1508035275217244161,"@OrijinHQ 
#Orijin #Polygon #IDO #BSC #Eth #BTC #Airdrop #DeFi #Launchpad 
Their vision for the robot is to create an ecosystem which will be beneficial for all the stakeholders.",
111,1508035264593113092,"@OrijinHQ 
#Orijin #Polygon #IDO #BSC #Eth #BTC #Airdrop #DeFi #Launchpad
One of the most interesting and promising projects for today. Do not miss the chance to participate. This project is very good for the future.",
112,1508035264509362177,"@SHIBrumours @hgmino0518 Pi Network is a new cryptocurrency project. You can get 1 free Pi, and mine it using your mobile phone!
Mining doesn't consume your phone power, doesn't use it.
Just download the app and create account using my nick as referral (invitation) Krevik
#Cryptocurrency #PINetwork",
113,1508035257303703552,"@elonmusk @PPathole I accept donations
BTC Bitcoin
1NBCVUjDd7GP9P8H6nvw1i6fQs45ZEeGqm
ETH Ethereum
0x7f433fc2112f338d7412995a57bff44fe6a66b45
DOGE Dogecoin
DJxC2dHgUq1Nr8pMMcrRfxdPbFg1kWQ7NN",
114,1508035255680192513,@Nexus_Dubai Let’s enjoy!!#NXD #NexusDubai #NexFi #Nexdius #cryptocurrency #Crypto #Staking,
115,1508035253494947842,"Current #Timerr Price is = $0.04695 USD 
#TimerrTo1Dollar $Timerr #Crypto #Freelance #Marketplace",
116,1508035249552433158,@Riz_Xrp Where can i buy xrp ?,
117,1508035234046132234,@MetawarOfficial Good @xrp @TerkehhBsc @dorra_zarrouk @airdrop_crypto6 @yourfriendA,
118,1508035230451576839,"Any Crypto/Warzone fans 👀 

Activision: MarbleTom#2523872

$CSPR $HBAR $XRP $QNT $BTC",
